Name,City,County,Founded,Carnegie Classification[a],Profit[b],Athletics,Affiliation,Notes
Academy of Art University,San Francisco,San Francisco,1929,"Special Focus Four-Year: Arts, Music & Design Schools",for-profit,NCAA Div. II,---,Arts & design
Alliant International University,San Diego,San Diego,1952,Doctoral Universities: Moderate Research Activity,for-profit,---,---,---
American Heritage University of Southern California,Ontario,San Bernardino,2003,Not classified,for-profit,---,---,Business
American Jewish University,Los Angeles,Los Angeles,1947,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,---,Judaism,---
American Management University,California,Los Angeles,2018,Not classified,Exempt verified private university,non-profit sponsored,International Alliance of Business Professionals (IABP),"Graduate-level Business, Leadership"
Anaheim University,Anaheim,Orange,1996,Not classified,for-profit,---,---,Graduate school
Antioch University,multiple locations,---,1972,Master's Colleges & Universities: Larger Programs,not-for-profit,---,---,---
ArtCenter College of Design,Pasadena,Los Angeles,1930,"Special Focus Four-Year: Arts, Music & Design Schools",not-for-profit,---,---,Arts & design
Azusa Pacific University,Azusa,Los Angeles,1899,Doctoral Universities: Moderate Research Activity,not-for-profit,NCAA Div. II,Christian (Inter-denominational),---
Berean Bible College,Poway,San Diego,1971,Not classified,---,---,Christian (non-denominational),"Religion, unaccredited"
Biola University,La Mirada,Los Angeles,1908,Doctoral Universities: Moderate Research Activity,not-for-profit,NCAA Div. II,Evangelical Christian,---
California Coast University,Santa Ana,California,1973,,for-profit,,,"Business, Psychology, Education. Undergraduate and Graduate"
California Baptist University,Riverside,Riverside,1950,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. I,Christian (Southern Baptist),---
California Coast University,Anaheim,Orange,1996,Not classified,for-profit,,,
California College of the Arts,"Oakland, San Francisco","Alameda, San Francisco",1907,"Special Focus Four-Year: Arts, Music & Design Schools",not-for-profit,---,---,Arts & design
California College San Diego,San Diego,San Diego,1978,Special Focus Four-Year: Other Health Professions Schools,not-for-profit,---,---,"Healthcare, business & technology"
California Health Sciences University,Clovis,Fresno,2012,Doctoral Universities: Health Professions Schools,For-profit,---,---,"Healthcare, business & technology"
California Institute of Integral Studies,San Francisco,San Francisco,1968,Doctoral Universities: Moderate Research Activity,not-for-profit,---,---,---
California Institute of Technology,Pasadena,Los Angeles,1891,Doctoral Universities: Highest Research Activity,not-for-profit,NCAA Div. III,---,---
California Institute of the Arts,Valencia,Los Angeles,1961,"Special Focus Four-Year: Arts, Music & Design Schools",not-for-profit,---,---,"Arts, music & design"
California Lutheran University,Thousand Oaks,Ventura,1959,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. III,Evangelical Lutheran Church in America,---
California Miramar University,San Diego,San Diego,2005,Special Focus Four-Year: Business & Management Schools,for-profit,---,---,Business
California Metropolitan University,Montclair,San Bernandino,2020,Exempt verified private university,non-profit sponsored,,International Alliance of Business Professionals (IABP),"Business, Management"
California South Bay University,Sunnyvale,Santa Clara,2007,Not classified,---,---,---,unaccredited
California Southern University,Costa Mesa,Orange,1978,Not classified,for-profit,---,---,Online
California University of Management and Sciences,Anaheim,Orange,1998,Master's Colleges & Universities: Medium Programs,not-for-profit,---,---,---
California University of Management and Technology,San Jose,Santa Clara,---,Not classified,---,---,---,---
Cambridge College,Rancho Cucamonga,San Bernardino,1971,Master's Colleges & Universities: Smaller Programs,not-for-profit,---,---,Satellite campus
Chapman University,Orange,Orange,1861,Doctoral Universities: High Research Activity,---,NCAA Div. III,Christian Church (Disciples of Christ),---
Charles R. Drew University of Medicine and Science,Willowbrook,Los Angeles,1966,Special Focus Four-Year: Other Health Professions Schools,not-for-profit,---,HBCU,Health sciences
Claremont Graduate University,Claremont,Los Angeles,1925,Doctoral Universities: Higher Research Activity,not-for-profit,---,Claremont Colleges,---
Claremont Lincoln University,Claremont,Los Angeles,2011,Master's Colleges & Universities: Small Programs,not-for-profit,---,---,Online
Claremont McKenna College,Claremont,Los Angeles,1946,Baccalaureate Colleges: Arts & Sciences Focus,not-for-profit,NCAA Div. III,Claremont Colleges,---
Concordia University Irvine,Irvine,Orange,1976,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. II,Lutheran Church—Missouri Synod,---
The Culinary Institute of America at Greystone,St. Helena,Napa,1995,Special Focus Four-Year: Other Special Focus Institutions,not-for-profit,---,---,Culinary
Deep Springs College,Deep Springs,Inyo,1917,Not classified,---,---,---,2-year degree
Design Institute of San Diego,San Diego,San Diego,1977,"Special Focus Four-Year: Arts, Music & Design Schools",for-profit,---,---,Interior design
DeVry University,various,various,1931,Master's Colleges & Universities: Larger Programs,for-profit,---,---,10 locations in California
Dharma Realm Buddhist University,Ukiah,Mendocino,1976,NC,"Private, not-for-profit",,Buddhism (Dharma Realm Buddhist Association),---
Dominican University of California,San Rafael,Marin,1890,Master's Colleges & Universities: Medium Programs,not-for-profit,NCAA Div. II,Roman Catholic (Dominican Order),---
Emperor's College of Traditional Oriental Medicine,Santa Monica,Los Angeles,1983,Special Focus Four-Year: Other Health Professions Schools,not-for-profit,---,---,Oriental medicine
Epic Bible College,Sacramento,Sacramento,1974,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,Christian (non-denominational),---
Fashion Institute of Design & Merchandising,Los Angeles,Los Angeles,1969,"Special Focus Four-Year: Arts, Music & Design Schools",for-profit,---,---,Design
Fielding Graduate University,,Santa Barbara,1974,Doctoral Universities,not-for-profit,---,---,---
Frederick S. Pardee RAND Graduate School,Santa Monica,Los Angeles,1970,Special Focus Four-Year: Other Special Focus Institutions,not-for-profit,---,---,Public policy
Fresno Pacific University,Fresno,Fresno,1944,Master's Colleges & Universities: Larger Programs,not-for-profit,NCAA Div. II,Mennonite Brethren Church,---
Fuller Theological Seminary,Pasadena,Los Angeles,1947,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,Christian (multidenominational),Religion
Gateway Seminary,Ontario,San Bernardino,1944,---,not-for-profit,---,Christian (Southern Baptist),---
Golden Gate University,San Francisco,San Francisco,1901,Master's Colleges & Universities: Larger Programs,not-for-profit,---,---,---
Graduate Theological Union,Berkeley,Alameda,1962,Special Focus Four-Year: Faith-Related Institutions,not-for-profit,---,---,Multifaith
Gurnick Academy,"San Mateo, California",San Mateo County,2004,Four or more years (Baccalaureate or higher degree),for-profit,---,---,Medical school
