School,Location(s),Control,Type,Enrollment[1] (fall 2014),Founded
Boise Bible College,Boise,Private not-for-profit,Special-focus institution,101,1945
Boise State University,Boise,Public,Doctoral/research university,24069,1932
Brigham Young University–Idaho,Rexburg,Private not-for-profit,Baccalaureate college,"43,024[2]",1888
College of Idaho,Caldwell,Private not-for-profit,Baccalaureate college,1114,1891
Idaho College of Osteopathic Medicine,Meridian,Private,Doctoral university,648 [3],2016
College of Southern Idaho,Twin Falls,Public,Associate's college,7321,1965
College of Western Idaho,Nampa,Public,Associate's college,10200,2007
College of Eastern Idaho,Idaho Falls,Public,Associate's college,1803,1969
Idaho State University,Pocatello,Public,Doctoral/research university,11766,1901
Lewis–Clark State College,Lewiston,Public,Baccalaureate college,3856,1893
McCall College,McCall and Boise,Private for-profit,,,2011
New Saint Andrews College,Moscow,Private,Baccalaureate college,,1994
North Idaho College,Coeur d'Alene,Public,Associate's college,5768,1933
Northwest Nazarene University,Nampa,Private not-for-profit,Master's university,2249,1913
University of Idaho,Moscow,Public,Doctoral/research university,10791,1889
