siteid,title,content
10000,Why do I have to make Satisfactory Academic Progress (SAP) to receive financial aid?,"Federal law requires that schools administering federal aid set a minimum academic performance standard in order to continue to receive financial aid. A school must monitor a stHudent’s qualitative (GPA) and quantitative (course completion) performance. The federal standards require a 2.0 cumulative GPA, 67 percent cumulative completion ratio, and total hours not to exceed 150 percent of the program."
10000,"If I am not making academic progress and am denied my aid, may I still receive my Federal Direct Loans?","No, SAP is calculated for all federal programs administered by the Office of Scholarships and Financial Aid at the University of Houston, including Federal Direct Loans."
10000,What will cause my appeal to be rejected or denied?,"If your appeal is not completed, properly signed, and if no corroborating documents are included, your appeal is considered incomplete. Students who miss the deadline or fail to turn in additional requested documents in a timely fashion will be denied. We encourage students to submit a thoughtful and well-worded typed statement, as this reflects on your commitment towards improving academic performance."
10000,What do quantitative and qualitative measurements mean?,"Qualitative measurements refer to your cumulative GPA.
Quantitative measurements monitor:
1.	Percentage of courses completed: the number of courses you successfully completed versus the total number of courses you attempted.
2.	Total attempted hours: the total number of courses you enrolled in to receive your degree."
10000,Will my transfer credit count toward the quantitative measure of my academic performance?,"Yes, the law requires that we consider all course work accepted by the University in our calculations of the ratio of courses completed and cumulative hours. However, transfer credits will not help improve your cumulative GPA at UH."
10000,Is there a deadline to submit a SAP appeal?,"Yes, to be eligible to appeal a loss of financial aid eligibility, students must submit both a Free Application for Federal Student Aid (FAFSA) and a complete financial aid SAP appeal. Students will receive an email sent to their destination email address providing the SAP appeal deadline. This deadline will also be posted on the SAP appeal form.  Students who are not meeting SAP and do not meet the printed deadline will not have their financial aid SAP appeals considered for the current term. These students may appeal for the next term."
10000,"If I am not meeting Satisfactory Academic Progress, will I be dropped by the fee payment deadline due to non-payment?","Students whose appeals are not received by the appeal submission deadline date are subject to being dropped from their classes due to non-payment, if they have not selected a payment or deferment plan."
10000,How long after my appeal is approved will my financial aid funds be released?,"If your appeal is approved prior to the first day of classes and you have fulfilled all disbursement requirements, loans will begin to apply within the first week of classes. If your appeal is approved after the first day of classes and you have fulfilled all disbursement requirements, your funds will be applied within five business days from the approval of the appeal. Remember that Federal Direct Loans require at least 6 credit hours of enrollment and completion of the Entrance Counseling and Master Promissory Note at StudentAid.gov.
Grants will disburse the day after the Official Reporting Day, typically the thirteenth day of the semester. Remember that certain grants require minimum enrollment (i.e., 9 credit semester hours for TEXAS Grant)."
10000,When will my appeal be reviewed?,"We strongly encourage that you submit your completed SAP appeal as soon as possible to give the committee ample time to review it. Appeals will be reviewed within four (4) weeks of submission. If you submitted an incomplete SAP appeal and then turn in additional documents, it may take an additional four (4) weeks to process the documents submitted later. It is best to turn in a complete appeal with all corroborating documents by the deadline."
10000,Where do I submit my Appeal Form?,"Appeals can be uploaded via your myUH self-service account To Do List, faxed to our office at (713) 743-9098 or submitted in person to the SFA counter in the Welcome Center. When uploading your documents, please save all pages as one PDF for uploading. Visit uh.edu/sfaupload for instructions on how to use the To Do List upload feature. We encourage you to visit with an advisor to have your initial appeal reviewed for completion."
10000,How many times can I submit an appeal?,"You are only allowed to appeal once during your academic career until you are able to meet SAP again. Students who appeal, but fail to meet cumulative academic standards after the probation semester will lose their ability to appeal again, unless mitigating circumstance exist, and must pay out of pocket. Please contact the office to learn more about the mitigating appeal. You may be selected to turn in a SAP plan if we have deemed that it may take you more than one semester to cumulatively improve your academic performance. Once you meet cumulative standards, you regain your financial aid eligibility. If after regaining eligibility, you fail to meet SAP requirements again, you may submit another SAP appeal."
10000,What if I meet SAP requirements during the year?,A student who meets SAP requirements during the year should contact Scholarships and Financial Aid for a review of their eligibility.
10000,What are the requirements to complete the TASFA process?,"To use this electronic application, you must be considered a Texas resident and your classification as a Texas resident must not be due to a waiver such as an in-state scholarship or an assistantship.
Steps to Complete the TASFA process:
•	Complete the TASFA form.
•	File Residency Affidavit with Office of the University Registrar regarding SB 1528. The deadline for this is the close of business day on the 12th day of class for the fall term.
•	Males should register with the selective service and attach a copy of the proof of registration.
•	Upload copies of the appropriate year tax transcripts.
•	If you and/or your parents did not have to file a federal income tax return, but earned wages which were paid in cash, report those cash earnings on the TASFA."
10000,"I am not yet a U.S. permanent resident, but I do have a social security card or an employment authorization card. Can I fill out the FAFSA?","You are not able to fill out a FAFSA until you become a permanent resident or are an eligible noncitizen with an Arrival/Departure Record (I-94) showing one of the following:
•	Refugee
•	Asylum granted,
•	Parolee (for a minimum of one year), or
•	Cuban-Haitian entrant
If none of these apply to you but you are classified as a Texas resident, you may be eligible to pay the Texas in-state tuition rate. If you meet all the other requirements for the TASFA, you may apply for the TASFA application instead of the FAFSA. Students receiving in-state tuition through a waiver such as a competitive scholarship or an assistantship are not eligible to use the TASFA."
10000,What is the official priority deadline to submit my TASFA and supporting documents?,"Students are encouraged to submit their TASFA and all required documents by January 15 to be considered for maximum funding. Students who miss the priority deadline for initial submission may have their application process delayed or denied, and funding will be awarded by the order of the date of TASFA completion."
10000,How much aid can I receive if I am approved for my application?,"Approved TASFA application students can be awarded up to $6,000 between fall and spring semesters, which is $3,000 each semester. There are no additional funds set aside for summer TASFA aid. You must maintain at least a nine hour enrollment to be eligible for the grant disbursement."
10000,I submitted the TASFA late or did not get awarded enough money from my TASFA application. How else can I receive additional funding?,"Students with state residency may apply for a College Access Loan (CAL) with the state coordinating board. Students will need a co-signer who is a U.S. citizen to complete the process. For more information, please click here."
10000,I have TASFA documents requested on my to-do list. When is the deadline? I see that there is a date listed.,"Students should complete the application process as soon as possible to be considered for maximum funding, especially before that date. Any delays in submitting the verification items that are requested will result in delays in being awarded, as TASFA funding is limited."
10000,I am a first time in college Texas resident classified as a non-Texas resident. What is the process to update my residency?,Students should submit a complete Residency Affidavit to the Office of the University Registrar. Forms are located in the UH website in the Office of Admissions Residency Requirements section.
10000,How often do I need to submit my TASFA?,The TASFA should be submitted every academic year you plan to apply for aid by the Jan. 15 deadline prior to the start of the academic year. The online application for the upcoming year becomes available each Oct. 1.
10000,I am a male and am having difficulty registering for selective service online. What are my options?,"You may be able to complete a paper version of the selective service registration form. This form is available at most post offices or at sss.gov/forms; please call your local office regarding form availability at that location. Complete this registration form and mail it to the Selective Service System office.
If you are male between the ages of 18 and 25, you must register with Selective Service in order to qualify for any type of state aid (regardless of residency status). Noncitizens not required to register include men who are in the U.S. on student or visitor visas, and men who are part of a diplomatic or trade mission and their families. Almost all other male noncitizens are required to register, including undocumented residents, legal permanent residents, and refugees."
10000,What are the electronic criteria to upload documents?,"The documents must be in .PDF format only, and the file size limit is 25MB per PDF. If you are using the Financial Aid To Do List, documents comprised of multiple pages should be combined into a single PDF file first, and then uploaded. For example, if your tax transcript consists of 6 pages, please scan all 6 of those pages and save it as one PDF file that you can upload into your tax transcript To-Do List. The orientation of the text should match the orientation of the document file (i.e., portrait/landscape). You can upload multiple PDF files if you are using the Task Tile To Do List option.
If you are uploading a verification worksheet form, please ensure that the form is completed in dark ink and is clearly scanned.
If you are using the Financial Aid To Do List, once files are uploaded, the documents cannot be edited by the applicant. Ensure that you are submitting the correct documents for the specified To-Do List item. If you have added an incorrect file, you can navigate to the Task Tile Do List and add the corrected PDF file.
If you do not have access to a scanner, you may use services on campus."
10000,Can all financial aid documents and forms be uploaded using this service?,Most of our documents can be uploaded using this feature but we do have some documents that are required to be submitted in person. These will be clearly marked on your To-Do List as not uploadable.
