Name,Province,City
Alberta University of the Arts,Alberta,Calgary
Acadia University,Nova Scotia,Wolfville
Algoma University,Ontario,"Sault Ste. Marie, Brampton"
Athabasca University,Alberta,"Athabasca, Calgary, Edmonton"
Bishop's University,Quebec,Sherbrooke
Brandon University,Manitoba,Brandon
Brock University,Ontario,"St. Catharines, Hamilton"
Cape Breton University,Nova Scotia,Sydney
Capilano University,British Columbia,North Vancouver
Carleton University,Ontario,Ottawa
Concordia University,Quebec,Montreal
Dalhousie University,Nova Scotia,"Halifax, Truro"
Emily Carr University of Art and Design,British Columbia,Vancouver
Kwantlen Polytechnic University,British Columbia,"Richmond, Surrey, Langley, Cloverdale"
Lakehead University,Ontario,"Thunder Bay, Orillia"
MacEwan University,Alberta,Edmonton
Mount Royal University,Alberta,Calgary
University of Alberta,Alberta,"Edmonton, Camrose, Calgary"
University of Calgary,Alberta,"Calgary, Edmonton"
University of Lethbridge,Alberta,"Lethbridge, Edmonton, Calgary"
Royal Roads University,British Columbia,Victoria
Simon Fraser University,British Columbia,"Burnaby, Surrey, Vancouver"
Thompson Rivers University,British Columbia,Kamloops
University of British Columbia,British Columbia,"Vancouver, Kelowna"
University of Victoria,British Columbia,Victoria
University of the Fraser Valley,British Columbia,"Abbotsford, Chilliwack, Mission"
University of Northern British Columbia,British Columbia,Prince George
Vancouver Island University,British Columbia,"Nanaimo, Duncan, Parksville, Powell River"
University College of the North,Manitoba,"The Pas, Thompson"
University of Manitoba,Manitoba,Winnipeg
Université de Saint-Boniface,Manitoba,Winnipeg
University of Winnipeg,Manitoba,Winnipeg
Mount Allison University,New Brunswick,Sackville
St. Thomas University,New Brunswick,Fredericton
University of New Brunswick,New Brunswick,"Fredericton, Saint John"
Université de Moncton,New Brunswick,"Moncton, Shippagan, Edmundston"
Memorial University of Newfoundland,Newfoundland,"St. John's, Corner Brook, Harlow (United Kingdom)"
Mount Saint Vincent University,Nova Scotia,Halifax
Nova Scotia College of Art and Design University,Nova Scotia,Halifax
Saint Francis Xavier University,Nova Scotia,Antigonish
Saint Mary's University,Nova Scotia,Halifax
Université Sainte-Anne,Nova Scotia,Pointe-de-l'Église
University of King's College,Nova Scotia,Halifax
Laurentian University,Ontario,"Sudbury, Hearst, Kapuskasing, Timmins"
McMaster University,Ontario,Hamilton
Nipissing University,Ontario,"North Bay, Bracebridge, Brantford"
Ontario College of Art and Design University,Ontario,Toronto
Queen's University at Kingston,Ontario,Kingston
Royal Military College of Canada,Ontario,Kingston
Toronto Metropolitan University,Ontario,Toronto
Trent University,Ontario,"Peterborough, Oshawa"
Université de Hearst,Ontario,"Hearst, Timmins, Kapuskasing"
Université de l'Ontario français,Ontario,Toronto
Université de Sudbury,Ontario,Sudbury
University of Guelph,Ontario,"Guelph, Toronto, Ridgetown"
Ontario Tech University,Ontario,Oshawa
University of Ottawa,Ontario,Ottawa
University of Toronto,Ontario,"Toronto, Mississauga"
University of Waterloo,Ontario,"Waterloo, Cambridge, Kitchener, Stratford"
University of Western Ontario,Ontario,London
University of Windsor,Ontario,Windsor
Wilfrid Laurier University,Ontario,"Waterloo, Brantford, Toronto, Kitchener"
York University,Ontario,Toronto
University of Prince Edward Island,Prince Edward Island,Charlottetown
École de technologie supérieure,Quebec,Montreal
École nationale d'administration publique,Quebec,"Quebec City, Montreal, Gatineau, Saguenay, Trois-Rivières"
Institut national de la recherche scientifique,Quebec,"Quebec City, Montreal, Laval, Varennes"
McGill University,Quebec,"Montreal, Ste-Anne-de-Bellevue"
Université de Montréal,Quebec,Montreal
Université de Sherbrooke,Quebec,Sherbrooke
Université du Québec en Abitibi-Témiscamingue,Quebec,"Rouyn-Noranda, Mont-Laurier"
Université du Québec en Outaouais,Quebec,"Gatineau, Saint-Jérôme"
Université du Québec à Chicoutimi,Quebec,Chicoutimi
Université du Québec à Montréal,Quebec,Montreal
Université du Québec à Rimouski,Quebec,"Rimouski, Lévis"
Université du Québec à Trois-Rivières,Quebec,Trois-Rivières
Université Laval,Quebec,Quebec City
University of Regina,Saskatchewan,"Regina, Saskatoon, Swift Current"
University of Saskatchewan,Saskatchewan,Saskatoon
Yukon University,Yukon,Whitehorse
Ambrose University,Calgary,Alberta
Booth University College,Winnipeg,Manitoba
Burman University,Lacombe,Alberta
Canadian Mennonite University,Winnipeg,Manitoba
Concordia University of Edmonton,Edmonton,Alberta
Crandall University,Moncton,New Brunswick
Kingswood University,Sussex,New Brunswick
Pacific Coast University for Workplace Health Sciences,Port Alberni,British Columbia
Providence University College and Theological Seminary,Otterburne,Manitoba
Quest University,Squamish,British Columbia
Redeemer University College,Hamilton,Ontario
"St. Mary's University, Calgary",Calgary,Alberta
St. Stephen's University,St. Stephen,New Brunswick
The King's University,Edmonton,Alberta
Trinity Western University,Langley,British Columbia
Tyndale University,Toronto,Ontario
University Canada West,Vancouver,British Columbia
University of Fredericton,Fredericton,New Brunswick
Yorkville University,"Fredericton, Toronto, Vancouver, Vaughan","British Columbia, New Brunswick, Ontario"
