Name,LivePerson,Website
Albertus Magnus College,,https://www.albertus.edu/contact-us/
Asnuntuck Community College,,https://asnuntuck.edu/current-students/distance-learning/bb/
Capital Community College,403,https://www.capitalcc.edu/enrollment-services/admissions/
Central Connecticut State University,,https://www.ccsu.edu/it/itorganization/hd_wi.html
Charter Oak State College,,https://my.charteroak.edu/ICS/Help/Help.jnz?portlet=Support_Center
Connecticut College,,https://www.conncoll.edu/information-services/technology-services/it-service-desk/
Eastern Connecticut State University,,https://www.easternct.edu/connect-with-us/contact-us.html
Fairfield University,,https://www.fairfield.edu/about/leadership-offices/departments/information-technology-services/
Gateway Community College,ERROR,
Goodwin University,,https://www.goodwin.edu/admissions/support
Hartford International University for Religion and Peace,,https://www.hartfordinternational.edu/
Holy Apostles College and Seminary,,https://holyapostles.edu/
Housatonic Community College,,https://www.housatonic.edu/contactus
Manchester Community College,ERROR,
Middlesex Community College,403,https://mxcc.edu/contact/chat/
Mitchell College,,https://mitchell.edu/contact-us/
Naugatuck Valley Community College,,https://nv.edu/
Northwestern Connecticut Community College,,https://www.nwcc.edu/online-learning/help-desk/
Norwalk Community College,403,https://norwalk.edu/about/contact/
Paier College of Art,,https://www.paier.edu/
Post University,403,https://post.edu/4783468-2/
Quinebaug Valley Community College,403,https://qvcc.edu/student-resources/
Quinnipiac University,,https://www.qu.edu/contact-us/
Sacred Heart University,,https://chat.sacredheart.edu/
Southern Connecticut State University,,https://inside.southernct.edu/onestop/live-chat
Three Rivers Community College,,https://www.threerivers.edu/student-life/support-services/
Trinity College,,https://www.tcd.ie/global/talktostudents/
Tunxis Community College,403,https://tunxis.edu/distance-learning/help-desk/
United States Coast Guard Academy,ERROR,
University of Bridgeport,403,https://www.bridgeport.edu/support-ub/
University of Connecticut,,https://techsupport.uconn.edu/
University of Hartford,,https://www.hartford.edu/admission/undergraduate/contact/default.aspx
University of New Haven,,https://studentsupport.newhaven.edu/student-tech-support/
University of Saint Joseph,403,https://www.usj.edu/contact-us/
Wesleyan University,,https://www.wesleyan.edu/about/contactus.html
Western Connecticut State University,403,https://support.wcsu.edu/
Yale University,,https://www.yale.edu/contact-us
Brown University,,https://ithelp.brown.edu/kb/articles/chat-with-us
