Name,LivePerson,Website
Nunavut Arctic College,,https://www.arcticcollege.com/
Algonquin College,,https://www.algonquincollege.com/online/contact-us/
Cambrian College,,https://cambriancollege.ca/contact-cambrian/
Canadore College,,https://www.canadorecollege.ca/support
Centennial College,,https://www.centennialcollege.ca/about-centennial/contact-us
Collège Boréal,,https://collegeboreal.ca/en/about-us/contact-us/
Conestoga College,,https://it.conestogac.on.ca/support
Confederation College,ERROR,
Durham College,,https://durhamcollege.ca/contact/live-chat
Fanshawe College,,https://intchat.fanshawec.ca/
Fleming College,,https://flemingcollege.ca/focus-on-fleming/fleming-college-connects-with-future-students-via-virtual-live-chat/
George Brown College,,https://www.georgebrown.ca/library-learning-commons/contact/online-chat-help
Georgian College,,https://www.georgiancollege.ca/international/contact-us/
Humber College,,http://its.humber.ca/about-us/contact
La Cité collégiale,,https://www.collegelacite.ca/international/nous-joindre
Lambton College,,https://www.lambtoncollege.ca/our-team/
Loyalist College,,https://loyalistcollege.com/coronavirus/student-services/
Mohawk College,,https://www.mohawkcollege.ca/form/online-registration-virtual-chat
Niagara College,403,https://www.niagaracollege.ca/insidenc/2020/04/01/niagara-college-launches-new-online-chat-for-current-future-students/
Northern College,ERROR,
St. Clair College,,https://www.stclaircollege.ca/it-services/contact
St. Lawrence College,,https://www.stlawrencecollege.ca/about/contact-us
Sault College,,https://www.saultcollege.ca/about/contact
Seneca College,,https://www.senecacollege.ca/contact-us.html
Sheridan College,,https://www.sheridancollege.ca/en/about/contact
Collège de l'Île,,https://collegedelile.ca/
Holland College,,https://hollandcollege.com/contact.php
Yukon School of Visual Arts,,https://yukonsova.net/
Cégep André-Laurendeau,,https://free-apply.com/en/university/1012400306
Cégep Beauce-Appalaches,,https://www.cegepsquebec.ca/en/cegeps/cegeps-directory/cegep-beauce-appalaches/
Cégep de Baie-Comeau,,https://en.wikipedia.org/wiki/C%C3%A9gep_de_Baie-Comeau
Cégep de Chicoutimi,,https://cchic.ca/nous-joindre/
