Name,Qless,Url
Albert Einstein College of Medicine,,https://einsteinmed.edu/
American Academy of Dramatic Arts,,https://www.aada.edu/
American Musical and Dramatic Academy,,https://www.amda.edu/
Bank Street College of Education,,https://www.bankstreet.edu/
Bard College,Yes,https://www.broward.edu/students/qless/
Barnard College,,https://barnard.edu/info-for/students
Berkeley College,Yes,https://www.berkeleycitycollege.edu/counseling/qless/
Boricua College,,https://www.boricuacollege.edu/
Briarcliffe College - The Queens Center,,https://qns.com/2008/07/the-queens-center-of-briarcliffe-college/
Brooklyn Law School,,https://www.brooklaw.edu/
Christie's Education,,https://education.christies.com/
City University of New York (CUNY),Yes,https://www.ccny.cuny.edu/financialaid/appointment
College of Mount Saint Vincent,,https://mountsaintvincent.edu/
Columbia University,,https://www.sfs.columbia.edu/
Cooper Union,,https://cooper.edu/admissions/faq
Cornell University,,https://www.studentessentials.cornell.edu/
DeVry University,,https://www.devry.edu/students/resources-and-tools.html
European School of Economics,,https://www.ese.ac.uk/
Fordham University,,https://www.fordham.edu/academics/undergraduate-education/advising/
Frank G. Zarb School of Business,,https://www.hofstra.edu/business
General Theological Seminary,,https://www.gts.edu/
Gerstner Sloan Kettering Graduate School of Biomedical Science,,https://www.sloankettering.edu/gerstner
Globe Institute of Technology,,https://www.internationalstudent.com/school-search/3069/usa/new-york/globe-institute-of-technology/
Hebrew Union College,,https://huc.edu/
Helene Fuld College of Nursing,,https://www.helenefuld.edu/
Institute of Design and Construction,,https://www.idcfoundation.org/idc-legacy
Icahn School of Medicine at Mount Sinai,,https://icahn.mssm.edu/
Jewish Theological Seminary of America,,https://www.jtsa.edu/
Juilliard School,Yes,https://www.mec.cuny.edu/student-success/qless/
Keller Graduate School of Management,,https://www.devry.edu/about/keller-graduate-school-of-management.html
The King's College,,https://www.tkc.edu/virtual-student-center/
Laboratory Institute of Merchandising,,https://www.limcollege.edu/
Long Island University,,https://liu.edu/
Manhattan College,,https://manhattan.edu/admissions/index.php
Manhattan School of Music,,https://www.msmnyc.edu/
Marymount Manhattan College,,https://www.mmm.edu/admissions-and-aid/
Mercy College,,https://www.mercy.edu/contact-us
Metropolitan College of New York,Yes,https://www.mec.cuny.edu/student-success/qless/
Monroe College,,https://www.monroecollege.edu/admissions-and-financial-aid
The New School,,https://www.newschool.edu/tuition-fees-billing/payment/
New York Academy of Art,,https://nyaa.edu/
New York Conservatory for Dramatic Arts,,https://www.nycda.edu/
New York Institute of Technology,,https://qless.com/
New York Law School,,https://www.nyls.edu/
New York School of Interior Design,,https://www.nysid.edu/
New York Theological Seminary,,https://www.nyts.edu/
New York University,Yes,https://www.yorku.ca/laps/support/academic-advising/appointments/
Nyack College (School of Music),,https://allianceu.edu/school-of-music/
Pace University,Yes,https://www.pace.edu/qless
Pacific College of Oriental Medicine,,https://www.pacificcollege.edu/campus
