Name,Qless,Url
Air University,,https://qless.com/customer-experience-management-tools-and-the-college-campus/
Alabama A&M University,,https://www.aamu.edu/
Alabama College of Osteopathic Medicine,,https://www.acom.edu/
Alabama State University,Yes,https://www.alasu.edu/cost-aid/hornetq
Amridge University,,https://www.amridgeuniversity.edu/
Athens State University,,https://www.athens.edu/admissions/financial-aid/
Auburn University,,https://www.auburn.edu/sfs/
Auburn University at Montgomery,,https://www.aum.edu/
Bevill State Community College,,https://www.bscc.edu/
Birmingham School of Law,,https://bsol.com/
Birmingham–Southern College,,https://www.bsc.edu/admission/
Bishop State Community College,,https://www.bishop.edu/
Calhoun Community College,,https://calhoun.edu/student-services/
Central Alabama Community College,,https://www.cacc.edu/
Chattahoochee Valley Community College,,https://www.cv.edu/
Coastal Alabama Community College,,https://www.coastalalabama.edu/
Columbia Southern University,,https://www.columbiasouthern.edu/
Community College of the Air Force,,https://www.airuniversity.af.edu/Barnes/CCAF/Display/Article/802800/community-college-of-the-air-force/
Enterprise State Community College,,https://escc.edu/
Faulkner University,,https://www.faulkner.edu/
Gadsden State Community College,,https://www.gadsdenstate.edu/admissions-aid/advising.cms
H. Councill Trenholm State Community College,,https://www.trenholmstate.edu/
Heritage Christian University,,https://www.hcu.edu/
Highlands College,Yes,https://yeqss.coal-uv.es/
Huntingdon College,,https://www.huntingdon.edu/
Huntsville Bible College,,https://huntsvillebiblecollege.org/
J.F. Drake State Community and Technical College,,https://drakestate.edu/
J. F. Ingram State Technical College,,https://istc.edu/
Jacksonville State University,Yes,https://www.jsums.edu/financialaid/appointments-can-be-scheduled-through-q-less/
Jefferson State Community College,,https://www.jeffersonstate.edu/
Lawson State Community College,,http://www.google.com.hk/aclk?sa=l&ai=DChcSEwivyY611tH_AhWgAKIDHS2jAJMYABAAGgJsZQ&sig=AOD64_0dES41Bv4WDCgnNAcxxwwDnhrjIg&ved=2ahUKEwj9t4i11tH_AhUSDxAIHRhhCKgQ0Qx6BAgMEAE&adurl=
Lurleen B. Wallace Community College,,https://www.lbwcc.edu/
Marion Military Institute,,https://marionmilitary.edu/
Miles College,,https://www.miles.edu/
Miles Law School,,https://mlaw.edu/
Northeast Alabama Community College,,https://www.nacc.edu/
Northwest–Shoals Community College,,https://nwscc.edu/admissions/advising/
Oakwood University,,https://oakwood.edu/
Reid State Technical College,,https://www.rstc.edu/
Samford University,,https://www.samford.edu/departments/financial-services/
Selma University,,https://www.kheaa.com/pdf/pubs/al/getin/selma.pdf
Shelton State Community College,,https://www.sheltonstate.edu/
Snead State Community College,,https://snead.edu/student-life/advising/
Southern Union State Community College,,https://www.suscc.edu/
Spring Hill College,,https://www.shc.edu/admissions-aid/admissions/admissions-faqs/
Stillman College,,https://stillman.edu/
Talladega College,,https://www.talladega.edu/
Troy University,,https://www.troy.edu/
Tuskegee University,,https://www.tuskegee.edu/financial-aid
United States Sports Academy,,https://ussa.edu/
University of Alabama,Yes,https://www.aamu.edu/about/administrative-offices/information-technology-services/our-services/business-applications/qless.html
University of Alabama at Birmingham,,https://www.uab.edu/home/
University of Alabama in Huntsville,Yes,https://www.aamu.edu/about/administrative-offices/information-technology-services/our-services/business-applications/qless.html
University of Mobile,,https://qless.com/queue-management-for-universities-schools/
University of Montevallo,,https://www.montevallo.edu/
University of North Alabama,,https://www.una.edu/
University of South Alabama,,https://www.southalabama.edu/
University of West Alabama,,https://www.uwa.edu/
Wallace Community College,,https://www.wallace.edu/campus-life-resources/counseling-advising/
Wallace Community College Selma,,https://www.wccs.edu/
Wallace State Community College,,https://wallacestate.edu/advising/advisors.html
Arkansas Baptist College,,https://www.arkansasbaptist.edu/admissions/
Arkansas Northeastern College,,https://www.anc.edu/
Arkansas State University,,https://www.astate.edu/a/finaid/
Arkansas State University-Beebe,,https://www.asub.edu/
Arkansas State University Mid-South,,https://www.asumidsouth.edu/
Arkansas State University–Mountain Home,,https://asumh.edu/
Arkansas State University-Newport,,https://www.asun.edu/
Arkansas State University Three Rivers,,https://www.asutr.edu/
Arkansas Tech University,,https://www.atu.edu/
Black River Technical College,,http://www.google.com.hk/aclk?sa=l&ai=DChcSEwj01v3O19H_AhUQThgKHVnsBVIYABAAGgJsZQ&sig=AOD64_36nFqi3NdmagGTbfd4p9mEbeXZPw&ved=2ahUKEwjX0_fO19H_AhXUvYsKHbFkBc8Q0Qx6BAgNEAE&adurl=
Blue Cliff College,,https://www.bluecliffcollege.edu/
Central Baptist College,,https://www.cbc.edu/apply
Cossatot Community College,,https://www.cccua.edu/
Crowley's Ridge College,,https://crc.edu/
East Arkansas Community College,,https://www.eacc.edu/
Ecclesia College,,https://ecollege.edu/
Harding University,,https://www.harding.edu/contact-us
Henderson State University,,https://www.hsu.edu/pages/future-students/financial-aid/
Hendrix College,,https://www.hendrix.edu/contactus/
John Brown University,,https://www.jbu.edu/
Lyon College,,https://www.lyon.edu/academic-advising
National Park College,,https://np.edu/about/faq.aspx
North Arkansas College,Yes,https://www.nwacc.edu/enrollment/qlesssystem.aspx
Northwest Arkansas Community College,Yes,https://www.nwacc.edu/enrollment/qlesssystem.aspx
Ouachita Baptist University,,https://obu.edu/
Ozarka College,,https://otc.ozarka.edu/
Philander Smith College,,https://www.philander.edu/
Phillips Community College of the University of Arkansas,,https://www.pccua.edu/
Shorter College,,https://qless.com/case/shorter-lines-greater-insights-at-broward-college/
South Arkansas Community College,,https://www.southark.edu/admissions
Southeast Arkansas College,,https://www.seark.edu/
Southern Arkansas University,,https://web.saumag.edu/
Southern Arkansas University Tech,,https://www.sautech.edu/
University of Arkansas,,https://kiosk.na4.qless.com/kiosk/app/home/399
University of Arkansas Community College at Batesville,,https://www.uaccb.edu/
University of Arkansas Community College at Hope,,https://www.uaht.edu/
University of Arkansas Community College at Morrilton,,https://www.uaccm.edu/
University of Arkansas System eVersity,,https://uasys.edu/campuses-units/universities/university-of-arkansas-system-eversity/
University of Arkansas at Little Rock,,https://kiosk.na4.qless.com/kiosk/app/home/399
University of Arkansas at Monticello,,https://www.uamont.edu/
University of Arkansas at Pine Bluff,,https://www.uapb.edu/
University of Arkansas Rich Mountain,,https://www.uarichmountain.edu/
University of Arkansas for Medical Sciences,Yes,https://www.nwacc.edu/enrollment/qlesssystem.aspx
University of Arkansas–Fort Smith,,https://uafs.edu/
University of Arkansas – Pulaski Technical College,,https://uaptc.edu/advising
University of Central Arkansas,,https://uca.edu/
University of the Ozarks,,https://ozarks.edu/
Williams Baptist University,,https://williamsbu.edu/
Delaware College of Art and Design,,https://dcad.edu/
Delaware State University,,https://www.desu.edu/
Delaware Technical Community College,,https://www.dtcc.edu/
Goldey–Beacom College,,https://www.gbc.edu/admissions/apply/live_online.html
University of Delaware,,https://www.udel.edu/
Widener University Delaware Law School,,https://delawarelaw.widener.edu/
Wilmington University,,https://www.wilmu.edu/
Florida A&M University,,https://www.famu.edu/
Florida Atlantic University,,https://www.fau.edu/uas/
Florida Gulf Coast University,,https://www.fgcu.edu/
Florida International University,Yes,https://onestop.fiu.edu/_assets/kiosks/
