Name,Qless,Url
Alberta University of the Arts,,https://www.auarts.ca/our-campus/student-support/academic-advising
Acadia University,,https://www2.acadiau.ca/contact.html
Algoma University,,https://algomau.ca/
Athabasca University,,https://www.athabascau.ca/support-services/about/contact-us.html
Bishop's University,,https://www.ubishops.ca/
Brandon University,,https://www.brandonu.ca/academic-advising/
Brock University,,https://www.youtube.com/watch?v=J_HjObXXh9A
Cape Breton University,,https://www.cbu.ca/
Capilano University,Yes,https://www.capilanou.ca/media/capilanouca/about-capu/governance/board-of-governors/agendas-minutes/agendas/BoG-Agenda-PKG---January-28-2020-REVISED.pdf
Carleton University,Yes,https://carleton.ca/qless/
Concordia University,,https://www.instagram.com/p/B2NORcUpVl9/?hl=en
Dalhousie University,,https://www.dal.ca/admissions/contactus.html
Emily Carr University of Art and Design,,https://www.ecuad.ca/
Kwantlen Polytechnic University,,https://www.kpu.ca/advising/bookanappointment
Lakehead University,,https://www.lakeheadu.ca/
MacEwan University,,https://www.macewan.ca/academics/advising/contact-us/
Mount Royal University,Yes,https://www.mtroyal.ca/AcademicSupport/Registrar/qless-registrar.htm
University of Alberta,Yes,https://www.mtroyal.ca/AcademicSupport/Registrar/qless-registrar.htm
University of Calgary,Yes,https://schulich.ucalgary.ca/current-students/undergraduate/student-resources/qless
University of Lethbridge,,https://www.ulethbridge.ca/education/student-advising
Royal Roads University,,https://www.royalroads.ca/
Simon Fraser University,,https://www.sfu.ca/students/contact.html
Thompson Rivers University,Yes,https://www.tru.ca/truworld/contact/meet-with-us.html
University of British Columbia,Yes,https://it.ok.ubc.ca/category/qless/
University of Victoria,,https://www.uvic.ca/services/advising/advice-support/advising-centre/book-appointment/index.php
University of the Fraser Valley,Yes,https://www.ufv.ca/registration/contact/get-in-line/
University of Northern British Columbia,,https://www.unbc.ca/
Vancouver Island University,,https://www.viu.ca/
University College of the North,,https://qless.com/queue-management-for-universities-schools/
University of Manitoba,,https://umanitoba.ca/
Université de Saint-Boniface,,https://ustboniface.ca/
University of Winnipeg,,https://www.uwinnipeg.ca/academic-advising/
Mount Allison University,,https://mta.ca/
St. Thomas University,,https://www.stu.edu/admissions/financial-aid/
University of New Brunswick,,https://www.unb.ca/
Université de Moncton,,https://www.umoncton.ca/
Memorial University of Newfoundland,,https://www.mun.ca/regoff/academic-advice/academic-advising-centre/book-an-academic-advising-appointment/
Mount Saint Vincent University,,https://www.msvu.ca/
Nova Scotia College of Art and Design University,,https://nscad.ca/
Saint Francis Xavier University,,https://www.stfx.ca/
Saint Mary's University,,https://www.smu.ca/academics/service-centre.html
Université Sainte-Anne,,https://www.usainteanne.ca/
University of King's College,,https://ukings.ca/
Laurentian University,,https://laurentian.ca/contact-us
McMaster University,,https://registrar.mcmaster.ca/resources/advising/
Nipissing University,,https://www.nipissingu.ca/
Ontario College of Art and Design University,,https://www.ocadu.ca/
Queen's University at Kingston,,https://www.queensu.ca/
Royal Military College of Canada,,https://www.rmc-cmr.ca/en/rmc-online
Toronto Metropolitan University,Yes,https://registrar.ontariotechu.ca/connect-with-us/qless.php
Trent University,,https://www.trentu.ca/advising/
Université de Hearst,,http://www.uhearst.ca/english
Université de l'Ontario français,,https://uontario.ca/
Université de Sudbury,,https://usudbury.ca/en/
University of Guelph,,https://www.uoguelph.ca/
Ontario Tech University,Yes,https://registrar.ontariotechu.ca/connect-with-us/qless.php
University of Ottawa,Yes,https://www.uottawa.ca/en/contact/virtual-line
University of Toronto,Yes,https://easi.its.utoronto.ca/category/past-connectlearn-sessions/qless/
University of Waterloo,,https://uwaterloo.ca/quest/
University of Western Ontario,Yes,https://registrar.ontariotechu.ca/connect-with-us/qless.php
University of Windsor,,https://www.uwindsor.ca/
Wilfrid Laurier University,,https://students.wlu.ca/registration-and-finances/enrolment-services/service-laurier.html
York University,Yes,https://www.yorku.ca/yucard/qless-virtual-line/
University of Prince Edward Island,,https://www.upei.ca/
École de technologie supérieure,,https://www.etsmtl.ca/
École nationale d'administration publique,,https://enap.ca/
Institut national de la recherche scientifique,,https://inrs.ca/
McGill University,,https://www.mcgill.ca/studentaid/
Université de Montréal,,https://www.umontreal.ca/
Université de Sherbrooke,,https://www.usherbrooke.ca/
