Name,Province,City,Language,Year established,Undergraduate students[33],Undergraduate students[33],Graduate students[33],Graduate students[33],Total full-time students[33]
Name,Province,City,Language,Year established,Full-time,Part-time,Full-time,Part-time,Total full-time students[33]
Alberta University of the Arts,Alberta,Calgary,English,1926,,,,,0
Acadia University,Nova Scotia,Wolfville,English,1838,3610.0,360.0,180.0,330.0,3790
Algoma University,Ontario,"Sault Ste. Marie, Brampton",English,2008,3700.0,360.0,0.0,0.0,3700
Athabasca University,Alberta,"Athabasca, Calgary, Edmonton",English,1970,0.0,35520.0,0.0,5110.0,0
Bishop's University,Quebec,Sherbrooke,English,1843,2400.0,300.0,240.0,40.0,2640
Brandon University,Manitoba,Brandon,English,1899,2220.0,370.0,210.0,180.0,2430
Brock University,Ontario,"St. Catharines, Hamilton",English,1964,15600.0,2300.0,1500.0,220.0,17100
Cape Breton University,Nova Scotia,Sydney,English,1974,5230.0,400.0,180.0,140.0,5410
Capilano University,British Columbia,North Vancouver,English,1968,,,,,0
Carleton University,Ontario,Ottawa,English[note 3],1942,19600.0,6600.0,3700.0,660.0,23300
Concordia University,Quebec,Montreal,English,1974,21100.0,9760.0,7240.0,650.0,28340
Dalhousie University,Nova Scotia,"Halifax, Truro",English,1818,14710.0,330.0,1580.0,780.0,16290
Emily Carr University of Art and Design,British Columbia,Vancouver,English,1925,1670.0,200.0,0.0,0.0,1670
Kwantlen Polytechnic University,British Columbia,"Richmond, Surrey, Langley, Cloverdale",English,1981,11170.0,1400.0,150.0,10.0,11320
Lakehead University,Ontario,"Thunder Bay, Orillia",English,1965,5700.0,1400.0,1400.0,10.0,7100
MacEwan University,Alberta,Edmonton,English,1971,12740.0,1950.0,0.0,0.0,12740
Mount Royal University,Alberta,Calgary,English,1910,10620.0,1000.0,0.0,0.0,10620
University of Alberta,Alberta,"Edmonton, Camrose, Calgary",Bilingual,1906,33180.0,1900.0,6950.0,1460.0,40130
University of Calgary,Alberta,"Calgary, Edmonton",English,1966,27050.0,1280.0,6990.0,1010.0,34040
University of Lethbridge,Alberta,"Lethbridge, Edmonton, Calgary",English,1967,6900.0,630.0,580.0,160.0,7480
Royal Roads University,British Columbia,Victoria,English,1995,610.0,0.0,2610.0,0.0,3220
Simon Fraser University,British Columbia,"Burnaby, Surrey, Vancouver",English,1965,13200.0,12490.0,3930.0,760.0,17130
Thompson Rivers University,British Columbia,Kamloops,English,1970,7690.0,700.0,750.0,45.0,8440
University of British Columbia,British Columbia,"Vancouver, Kelowna",English,1908,41330.0,16180.0,11040.0,1790.0,52370
University of Victoria,British Columbia,Victoria,English,1963,14350.0,4440.0,3050.0,220.0,17400
University of the Fraser Valley,British Columbia,"Abbotsford, Chilliwack, Mission",English,1974,7090.0,2110.0,30.0,40.0,7120
University of Northern British Columbia,British Columbia,Prince George,English,1990,1730.0,930.0,540.0,110.0,2270
Vancouver Island University,British Columbia,"Nanaimo, Duncan, Parksville, Powell River",English,1969,5270.0,1080.0,500.0,300.0,5770
University College of the North,Manitoba,"The Pas, Thompson",English,1966,,,,,0
University of Manitoba,Manitoba,Winnipeg,Bilingual,1877,22700.0,3960.0,3140.0,570.0,25840
Université de Saint-Boniface,Manitoba,Winnipeg,French,1818,700.0,120.0,0.0,110.0,700
University of Winnipeg,Manitoba,Winnipeg,English,1871,8540.0,1750.0,170.0,90.0,8710
Mount Allison University,New Brunswick,Sackville,English,1839,2300.0,100.0,10.0,0.0,2310
St. Thomas University,New Brunswick,Fredericton,English,1910,1580.0,130.0,20.0,0.0,1600
University of New Brunswick,New Brunswick,"Fredericton, Saint John",English,1785,7350.0,610.0,1500.0,570.0,8850
Université de Moncton,New Brunswick,"Moncton, Shippagan, Edmundston",French,1963,4520.0,360.0,410.0,210.0,4930
Memorial University of Newfoundland,Newfoundland,"St. John's, Corner Brook, Harlow (United Kingdom)",English,1925,12550.0,1870.0,3290.0,1200.0,15840
Mount Saint Vincent University,Nova Scotia,Halifax,English,1873,2300.0,520.0,240.0,820.0,2540
Nova Scotia College of Art and Design University,Nova Scotia,Halifax,English,1887,670.0,110.0,50.0,10.0,720
Saint Francis Xavier University,Nova Scotia,Antigonish,English,1853,3980.0,660.0,110.0,690.0,4090
Saint Mary's University,Nova Scotia,Halifax,English,1802,5130.0,510.0,660.0,130.0,5790
Université Sainte-Anne,Nova Scotia,Pointe-de-l'Église,French,1890,520.0,70.0,10.0,30.0,530
